id,prompt,vote_consistency,vote_alignment,vote_quality,rater
fantasy_1,fantasy_1,flux_best,flux_best,flux_best,JKSong
inanimate_6,inanimate_6,flux_best,flux_best,flux_best,JKSong
humans_20,humans_20,flux_best,flux_best,characonsist,JKSong
fairy_tales_38,fairy_tales_38,characonsist,flux_best,flux_best,JKSong
fantasy_14,fantasy_14,flux_best,characonsist,flux_best,JKSong
humans_1,humans_1,characonsist,flux_best,flux_best,JKSong
fairy_tales_30,fairy_tales_30,characonsist,characonsist,flux_best,JKSong
animals_13,animals_13,flux_best,flux_best,flux_best,JKSong
fairy_tales_10,fairy_tales_10,flux_best,characonsist,characonsist,JKSong
technoledge_2,technoledge_2,flux_best,flux_best,flux_best,JKSong
fantasy_13,fantasy_13,flux_best,flux_best,characonsist,JKSong
fairy_tales_0,fairy_tales_0,flux_best,characonsist,characonsist,JKSong
fairy_tales_17,fairy_tales_17,flux_best,flux_best,flux_best,JKSong
fairy_tales_1,fairy_tales_1,flux_best,characonsist,flux_best,JKSong
fantasy_7,fantasy_7,flux_best,characonsist,flux_best,JKSong
humans_9,humans_9,flux_best,flux_best,flux_best,JKSong
fairy_tales_19,fairy_tales_19,characonsist,characonsist,flux_best,JKSong
fantasy_4,fantasy_4,characonsist,characonsist,characonsist,JKSong
animals_14,animals_14,flux_best,characonsist,characonsist,JKSong
fairy_tales_11,fairy_tales_11,flux_best,flux_best,flux_best,JKSong
animals_9,animals_9,flux_best,flux_best,flux_best,JKSong
fantasy_2,fantasy_2,flux_best,characonsist,flux_best,JKSong
technoledge_0,technoledge_0,flux_best,characonsist,flux_best,JKSong
animals_7,animals_7,flux_best,flux_best,flux_best,JKSong
humans_14,humans_14,flux_best,flux_best,characonsist,JKSong
nature_34,nature_34,flux_best,flux_best,flux_best,JKSong
animals_0,animals_0,flux_best,flux_best,flux_best,JKSong
foods_12,foods_12,flux_best,characonsist,flux_best,JKSong
fantasy_11,fantasy_11,flux_best,flux_best,flux_best,JKSong
fairy_tales_12,fairy_tales_12,flux_best,characonsist,flux_best,JKSong
