id,prompt,vote_consistency,vote_alignment,vote_quality,rater
animals_7,animals_7,flux_best,characonsist,flux_best,cysong
animals_9,animals_9,flux_best,flux_best,flux_best,cysong
animals_14,animals_14,flux_best,characonsist,characonsist,cysong
fairy_tales_38,fairy_tales_38,flux_best,flux_best,flux_best,cysong
fairy_tales_1,fairy_tales_1,flux_best,characonsist,flux_best,cysong
fairy_tales_0,fairy_tales_0,characonsist,flux_best,flux_best,cysong
fantasy_4,fantasy_4,flux_best,flux_best,flux_best,cysong
nature_34,nature_34,flux_best,characonsist,flux_best,cysong
fantasy_11,fantasy_11,characonsist,flux_best,flux_best,cysong
fairy_tales_19,fairy_tales_19,characonsist,characonsist,flux_best,cysong
humans_9,humans_9,flux_best,flux_best,flux_best,cysong
animals_0,animals_0,flux_best,flux_best,flux_best,cysong
fairy_tales_30,fairy_tales_30,flux_best,flux_best,flux_best,cysong
humans_1,humans_1,flux_best,flux_best,flux_best,cysong
inanimate_6,inanimate_6,characonsist,flux_best,flux_best,cysong
humans_20,humans_20,flux_best,flux_best,flux_best,cysong
fantasy_1,fantasy_1,flux_best,characonsist,flux_best,cysong
fairy_tales_17,fairy_tales_17,flux_best,flux_best,flux_best,cysong
foods_12,foods_12,characonsist,flux_best,flux_best,cysong
fantasy_7,fantasy_7,flux_best,flux_best,flux_best,cysong
fairy_tales_11,fairy_tales_11,flux_best,characonsist,flux_best,cysong
fairy_tales_12,fairy_tales_12,characonsist,flux_best,flux_best,cysong
fantasy_14,fantasy_14,flux_best,flux_best,flux_best,cysong
fantasy_2,fantasy_2,characonsist,characonsist,flux_best,cysong
fantasy_13,fantasy_13,characonsist,flux_best,characonsist,cysong
technoledge_0,technoledge_0,flux_best,flux_best,flux_best,cysong
fairy_tales_10,fairy_tales_10,flux_best,characonsist,characonsist,cysong
technoledge_2,technoledge_2,characonsist,flux_best,characonsist,cysong
humans_14,humans_14,characonsist,flux_best,flux_best,cysong
animals_13,animals_13,flux_best,flux_best,flux_best,cysong
