id,prompt,vote_consistency,vote_alignment,vote_quality,rater
foods_12,foods_12,characonsist,characonsist,flux_best,dihan
animals_14,animals_14,flux_best,characonsist,flux_best,dihan
humans_9,humans_9,characonsist,characonsist,characonsist,dihan
fairy_tales_12,fairy_tales_12,flux_best,flux_best,flux_best,dihan
fairy_tales_10,fairy_tales_10,flux_best,flux_best,flux_best,dihan
animals_7,animals_7,characonsist,characonsist,flux_best,dihan
fairy_tales_17,fairy_tales_17,flux_best,flux_best,flux_best,dihan
fairy_tales_0,fairy_tales_0,characonsist,characonsist,flux_best,dihan
fantasy_14,fantasy_14,flux_best,flux_best,flux_best,dihan
fairy_tales_1,fairy_tales_1,flux_best,characonsist,flux_best,dihan
fairy_tales_30,fairy_tales_30,flux_best,flux_best,flux_best,dihan
animals_0,animals_0,flux_best,flux_best,flux_best,dihan
fairy_tales_19,fairy_tales_19,flux_best,flux_best,flux_best,dihan
animals_9,animals_9,flux_best,flux_best,flux_best,dihan
nature_34,nature_34,flux_best,characonsist,flux_best,dihan
fantasy_13,fantasy_13,flux_best,flux_best,flux_best,dihan
fantasy_2,fantasy_2,flux_best,flux_best,flux_best,dihan
humans_20,humans_20,flux_best,flux_best,flux_best,dihan
inanimate_6,inanimate_6,flux_best,flux_best,flux_best,dihan
fantasy_7,fantasy_7,flux_best,characonsist,flux_best,dihan
humans_1,humans_1,flux_best,characonsist,flux_best,dihan
fantasy_4,fantasy_4,flux_best,flux_best,flux_best,dihan
humans_14,humans_14,flux_best,flux_best,flux_best,dihan
fantasy_11,fantasy_11,characonsist,flux_best,flux_best,dihan
fairy_tales_38,fairy_tales_38,flux_best,flux_best,flux_best,dihan
fairy_tales_11,fairy_tales_11,characonsist,characonsist,flux_best,dihan
animals_13,animals_13,characonsist,flux_best,flux_best,dihan
fantasy_1,fantasy_1,characonsist,flux_best,flux_best,dihan
technoledge_2,technoledge_2,flux_best,flux_best,flux_best,dihan
technoledge_0,technoledge_0,flux_best,flux_best,flux_best,dihan
