id,prompt,vote_consistency,vote_alignment,vote_quality,rater
fairy_tales_30,fairy_tales_30,characonsist,flux_best,flux_best,gg
fantasy_11,fantasy_11,characonsist,flux_best,characonsist,gg
animals_9,animals_9,characonsist,characonsist,flux_best,gg
fantasy_1,fantasy_1,flux_best,flux_best,characonsist,gg
fantasy_4,fantasy_4,characonsist,flux_best,flux_best,gg
animals_7,animals_7,flux_best,characonsist,characonsist,gg
fantasy_2,fantasy_2,characonsist,flux_best,flux_best,gg
technoledge_2,technoledge_2,flux_best,flux_best,flux_best,gg
technoledge_0,technoledge_0,characonsist,characonsist,flux_best,gg
humans_1,humans_1,flux_best,characonsist,flux_best,gg
fairy_tales_0,fairy_tales_0,characonsist,flux_best,characonsist,gg
fairy_tales_1,fairy_tales_1,flux_best,characonsist,flux_best,gg
humans_9,humans_9,flux_best,flux_best,characonsist,gg
animals_14,animals_14,flux_best,characonsist,characonsist,gg
animals_13,animals_13,characonsist,flux_best,flux_best,gg
fairy_tales_11,fairy_tales_11,characonsist,flux_best,characonsist,gg
humans_14,humans_14,flux_best,flux_best,characonsist,gg
fairy_tales_10,fairy_tales_10,characonsist,flux_best,flux_best,gg
fairy_tales_19,fairy_tales_19,characonsist,characonsist,characonsist,gg
foods_12,foods_12,flux_best,flux_best,flux_best,gg
nature_34,nature_34,characonsist,characonsist,characonsist,gg
fairy_tales_12,fairy_tales_12,characonsist,flux_best,flux_best,gg
fantasy_14,fantasy_14,characonsist,flux_best,characonsist,gg
animals_0,animals_0,flux_best,characonsist,characonsist,gg
humans_20,humans_20,flux_best,flux_best,flux_best,gg
fairy_tales_38,fairy_tales_38,characonsist,flux_best,characonsist,gg
fantasy_7,fantasy_7,flux_best,characonsist,characonsist,gg
fantasy_13,fantasy_13,characonsist,characonsist,flux_best,gg
inanimate_6,inanimate_6,flux_best,flux_best,characonsist,gg
fairy_tales_17,fairy_tales_17,characonsist,characonsist,characonsist,gg
