id,prompt,vote_consistency,vote_alignment,vote_quality,rater
fantasy_1,fantasy_1,flux_best,flux_best,flux_best,hryu
fairy_tales_30,fairy_tales_30,flux_best,flux_best,flux_best,hryu
fairy_tales_12,fairy_tales_12,flux_best,flux_best,flux_best,hryu
humans_14,humans_14,flux_best,flux_best,flux_best,hryu
technoledge_0,technoledge_0,flux_best,flux_best,flux_best,hryu
fantasy_4,fantasy_4,flux_best,flux_best,characonsist,hryu
fairy_tales_10,fairy_tales_10,flux_best,flux_best,flux_best,hryu
fantasy_7,fantasy_7,flux_best,flux_best,flux_best,hryu
humans_1,humans_1,flux_best,characonsist,characonsist,hryu
fantasy_11,fantasy_11,flux_best,flux_best,flux_best,hryu
fairy_tales_38,fairy_tales_38,flux_best,flux_best,flux_best,hryu
animals_14,animals_14,flux_best,flux_best,flux_best,hryu
fantasy_14,fantasy_14,flux_best,flux_best,flux_best,hryu
fantasy_13,fantasy_13,flux_best,characonsist,flux_best,hryu
animals_0,animals_0,flux_best,flux_best,flux_best,hryu
humans_20,humans_20,flux_best,flux_best,flux_best,hryu
animals_7,animals_7,flux_best,characonsist,flux_best,hryu
fantasy_2,fantasy_2,characonsist,flux_best,flux_best,hryu
nature_34,nature_34,characonsist,characonsist,flux_best,hryu
fairy_tales_0,fairy_tales_0,flux_best,flux_best,flux_best,hryu
fairy_tales_11,fairy_tales_11,flux_best,flux_best,flux_best,hryu
animals_13,animals_13,flux_best,flux_best,flux_best,hryu
fairy_tales_1,fairy_tales_1,flux_best,characonsist,flux_best,hryu
fairy_tales_19,fairy_tales_19,characonsist,flux_best,characonsist,hryu
technoledge_2,technoledge_2,flux_best,flux_best,flux_best,hryu
fairy_tales_17,fairy_tales_17,flux_best,characonsist,flux_best,hryu
humans_9,humans_9,characonsist,flux_best,flux_best,hryu
animals_9,animals_9,flux_best,characonsist,flux_best,hryu
inanimate_6,inanimate_6,characonsist,characonsist,characonsist,hryu
foods_12,foods_12,characonsist,characonsist,flux_best,hryu
