id,prompt,vote_consistency,vote_alignment,vote_quality,rater
animals_14,animals_14,flux_best,flux_best,characonsist,jykim
technoledge_2,technoledge_2,flux_best,flux_best,flux_best,jykim
inanimate_6,inanimate_6,flux_best,flux_best,flux_best,jykim
animals_7,animals_7,flux_best,characonsist,flux_best,jykim
foods_12,foods_12,flux_best,characonsist,flux_best,jykim
fairy_tales_10,fairy_tales_10,flux_best,characonsist,flux_best,jykim
fairy_tales_38,fairy_tales_38,flux_best,flux_best,flux_best,jykim
animals_9,animals_9,flux_best,characonsist,flux_best,jykim
animals_0,animals_0,flux_best,flux_best,flux_best,jykim
animals_13,animals_13,characonsist,characonsist,characonsist,jykim
humans_20,humans_20,flux_best,flux_best,flux_best,jykim
fairy_tales_0,fairy_tales_0,flux_best,flux_best,flux_best,jykim
fairy_tales_30,fairy_tales_30,characonsist,flux_best,flux_best,jykim
fairy_tales_12,fairy_tales_12,flux_best,characonsist,flux_best,jykim
nature_34,nature_34,flux_best,characonsist,characonsist,jykim
fantasy_11,fantasy_11,characonsist,characonsist,characonsist,jykim
fantasy_2,fantasy_2,flux_best,flux_best,flux_best,jykim
fairy_tales_1,fairy_tales_1,flux_best,flux_best,flux_best,jykim
fantasy_7,fantasy_7,flux_best,flux_best,flux_best,jykim
fairy_tales_17,fairy_tales_17,flux_best,flux_best,flux_best,jykim
fantasy_1,fantasy_1,flux_best,flux_best,flux_best,jykim
fantasy_14,fantasy_14,characonsist,flux_best,characonsist,jykim
humans_1,humans_1,flux_best,flux_best,flux_best,jykim
fantasy_13,fantasy_13,flux_best,flux_best,flux_best,jykim
fantasy_4,fantasy_4,characonsist,characonsist,characonsist,jykim
fairy_tales_11,fairy_tales_11,flux_best,characonsist,characonsist,jykim
fairy_tales_19,fairy_tales_19,characonsist,characonsist,characonsist,jykim
humans_9,humans_9,flux_best,flux_best,flux_best,jykim
humans_14,humans_14,characonsist,characonsist,characonsist,jykim
technoledge_0,technoledge_0,flux_best,flux_best,flux_best,jykim
